token,icd_code
562,J66 (airway disease due to specific organic dust)
563,J67 (hypersensitivity pneumonitis due to organic dust)
564,J69 (pneumonitis due to solids and liquids)
565,J70 (respiratory conditions due to other external agents)
566,J80 (adult respiratory distress syndrome)
567,J81 (pulmonary oedema)
568,J84 (other interstitial pulmonary diseases)
569,J85 (abscess of lung and mediastinum)
570,J86 (pyothorax)
571,J91 (pleural effusion in conditions classified elsewhere)
572,J92 (pleural plaque)
573,J93 (pneumothorax)
574,J94 (other pleural conditions)
575,J98 (other respiratory disorders)
576,J99 (respiratory disorders in diseases classified elsewhere)
577,K00 (disorders of tooth development and eruption)
578,K01 (embedded and impacted teeth)
579,K02 (dental caries)
580,K03 (other diseases of hard tissues of teeth)
581,K04 (diseases of pulp and periapical tissues)
582,K05 (gingivitis and periodontal diseases)
583,K06 (other disorders of gingiva and edentulous alveolar ridge)
584,K07 (dentofacial anomalies [including malocclusion])
585,K08 (other disorders of teeth and supporting structures)
586,K10 (other diseases of jaws)
587,K11 (diseases of salivary glands)
588,K12 (stomatitis and related lesions)
589,K13 (other diseases of lip and oral mucosa)
590,K14 (diseases of tongue)
591,K20 (oesophagitis)
592,K21 (gastro-oesophageal reflux disease)
593,K22 (other diseases of oesophagus)
594,K23 (disorders of oesophagus in diseases classified elsewhere)
595,K25 (gastric ulcer)
596,K26 (duodenal ulcer)
597,K28 (gastrojejunal ulcer)
598,K29 (gastritis and duodenitis)
599,K30 (dyspepsia)
600,K31 (other diseases of stomach and duodenum)
601,K35 (acute appendicitis)
602,K36 (other appendicitis)
603,K37 (unspecified appendicitis)
604,K38 (other diseases of appendix)
605,K40 (inguinal hernia)
606,K41 (femoral hernia)
607,K42 (umbilical hernia)
608,K43 (ventral hernia)
609,K44 (diaphragmatic hernia)
610,K45 (other abdominal hernia)
611,K46 (unspecified abdominal hernia)
612,K50 (crohn's disease [regional enteritis])
613,K51 (ulcerative colitis)
614,K52 (other non-infective gastro-enteritis and colitis)
615,K55 (vascular disorders of intestine)
616,K56 (paralytic ileus and intestinal obstruction without hernia)
617,K57 (diverticular disease of intestine)
618,K58 (irritable bowel syndrome)
619,K59 (other functional intestinal disorders)
620,K60 (fissure and fistula of anal and rectal regions)
621,K61 (abscess of anal and rectal regions)
622,K62 (other diseases of anus and rectum)
623,K63 (other diseases of intestine)
624,K64 (haemorrhoids and perianal venous thrombosis)
625,K65 (peritonitis)
626,K66 (other disorders of peritoneum)
627,K67 (disorders of peritoneum in infectious diseases classified elsewhere)
628,K70 (alcoholic liver disease)
629,K71 (toxic liver disease)
630,K74 (fibrosis and cirrhosis of liver)
631,K75 (other inflammatory liver diseases)
632,K76 (other diseases of liver)
633,K77 (liver disorders in diseases classified elsewhere)
634,K80 (cholelithiasis)
635,K81 (cholecystitis)
636,K82 (other diseases of gallbladder)
637,K83 (other diseases of biliary tract)
638,K85 (acute pancreatitis)
639,K86 (other diseases of pancreas)
640,K90 (intestinal malabsorption)
641,K92 (other diseases of digestive system)
642,K93 (disorders of other digestive organs in diseases classified elsewhere)
643,L00 (staphylococcal scalded skin syndrome)
644,L01 (impetigo)
645,L03 (cellulitis)
646,L04 (acute lymphadenitis)
647,L05 (pilonidal cyst)
648,L08 (other local infections of skin and subcutaneous tissue)
649,L10 (pemphigus)
650,L11 (other acantholytic disorders)
651,L12 (pemphigoid)
652,L13 (other bullous disorders)
653,L14 (bullous disorders in diseases classified elsewhere)
654,L20 (atopic dermatitis)
655,L21 (seborrhoeic dermatitis)
656,L22 (diaper [napkin] dermatitis)
657,L23 (allergic contact dermatitis)
658,L24 (irritant contact dermatitis)
659,L25 (unspecified contact dermatitis)
660,L26 (exfoliative dermatitis)
661,L27 (dermatitis due to substances taken internally)
662,L28 (lichen simplex chronicus and prurigo)
663,L29 (pruritus)
664,L30 (other dermatitis)
665,L40 (psoriasis)
666,L41 (parapsoriasis)
667,L42 (pityriasis rosea)
668,L43 (lichen planus)
669,L44 (other papulosquamous disorders)
670,L50 (urticaria)
671,L51 (erythema multiforme)
672,L52 (erythema nodosum)
673,L53 (other erythematous conditions)
674,L54 (erythema in diseases classified elsewhere)
675,L55 (sunburn)
676,L56 (other acute skin changes due to ultraviolet radiation)
677,L57 (skin changes due to chronic exposure to nonionising radiation)
678,L58 (radiodermatitis)
679,L59 (other disorders of skin and subcutaneous tissue related to radiation)
680,L60 (nail disorders)
681,L62 (nail disorders in diseases classified elsewhere)
682,L63 (alopecia areata)
683,L64 (androgenic alopecia)
684,L65 (other nonscarring hair loss)
685,L66 (cicatricial alopecia [scarring hair loss])
686,L67 (hair colour and hair shaft abnormalities)
687,L68 (hypertrichosis)
688,L70 (acne)
689,L71 (rosacea)
690,L72 (follicular cysts of skin and subcutaneous tissue)
691,L73 (other follicular disorders)
692,L74 (eccrine sweat disorders)
693,L75 (apocrine sweat disorders)
694,L80 (vitiligo)
695,L81 (other disorders of pigmentation)
696,L82 (seborrhoeic keratosis)
697,L83 (acanthosis nigricans)
698,L84 (corns and callosities)
699,L85 (other epidermal thickening)
700,L86 (keratoderma in diseases classified elsewhere)
701,L87 (transepidermal elimination disorders)
702,L88 (pyoderma gangrenosum)
703,L89 (decubitus ulcer)
704,L90 (atrophic disorders of skin)
705,L91 (hypertrophic disorders of skin)
706,L92 (granulomatous disorders of skin and subcutaneous tissue)
707,L93 (lupus erythematosus)
708,L94 (other localised connective tissue disorders)
709,L99 (other disorders of skin and subcutaneous tissue in diseases classified elsewhere)
710,M00 (pyogenic arthritis)
711,M01 (direct infections of joint in infectious and parasitic diseases classified elsewhere)
712,M02 (reactive arthropathies)
713,M03 (postinfective and reactive arthropathies in diseases classified elsewhere)
714,M05 (seropositive rheumatoid arthritis)
715,M06 (other rheumatoid arthritis)
716,M07 (psoriatic and enteropathic arthropathies)
717,M08 (juvenile arthritis)
718,M09 (juvenile arthritis in diseases classified elsewhere)
719,M10 (gout)
720,M11 (other crystal arthropathies)
721,M12 (other specific arthropathies)
722,M13 (other arthritis)
723,M14 (arthropathies in other diseases classified elsewhere)
724,M15 (polyarthrosis)
